token	lemma	POS	morph	
SOIGNORS	seignor	NOMcom	bla	
or	or4	bla	DEGRE=-	
escoutez	vbla	VERcjg	MODE=imp|PERS.=2|NOMB.=p	
que	que4	PROind	PERS\.=	#regle_add
Dés	Dieu	CONcoo	NOMB.=s|GENRE=m|CAS=n	#regle_add
vos	vos	PROperce	PERS.=2|NOMB.=p|GENRE=m|CAS=i	
soit	estre5	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s	
amis	ami	NOMcom	NOMB.=s|GENRE=m|CAS=n|TEMPS=pst	
on	on	PROind	CAS=n|Pers.=3	
III	trois	DETcar	NOMB.=p|GENRE=m|CAS=r	
vers	vers1	POS=PRE	NOMB.=p|GENRE=m|CAS=r	
de	de	PRE	NOMB.=s|CAS=n	
bone	bon	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p	
estoire	estoire1	NOMcom	NOMB.=s|GENRE=f|CAS=r	
se	si	ADVgen	DEGRE=-	
je	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	
les	il	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r	
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=i	
devis	deviser	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	
Dou	de+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r	
premier	premier	ADJord	NOMB.=s|GENRE=m|CAS=r	
roi	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=r	
de	de	PRE	MORPH=empty	
France	France	NOMpro	NOMB.=s|GENRE=f|CAS=r	
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	
crestïens	crestiien	NOMcom	NOMB.=s|GENRE=m|CAS=n	
devint	devenir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	
Cil	cel	PROdem	NOMB.=s|GENRE=m|CAS=n	
ot	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	
non	nom	NOMcom	NOMB.=s|GENRE=m|CAS=r	
Cloovis	Clovis	NOMpro	NOMB.=s|GENRE=m|CAS=r	
si	si	ADVgen	DEGRE=-	
com	come1	CONsub	MORPH=empty	
truis	trover	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	
en	en1	PRE	MORPH=empty	
escrit	escrit	NOMcom	NOMB.=s|GENRE=m|CAS=r	
Plus	plus	ADVgen	DEGRE=-	
de	de	PRE	MORPH=empty	
